2026-01-28 17:30:59,Secom,478,compare_k239_a0.2_m200_block_1,239,4780,200,0.2000,473.2312,472.4897,0.9984,32.0804,25.6579,1.2503,DONE
2026-01-28 17:31:01,Secom,478,compare_k4_a0.2_m500_block_1,4,100,500,0.2000,61.8287,49.3509,0.7982,0.0313,1.0246,0.0305,DONE
2026-01-28 17:31:14,Secom,478,compare_k47_a0.2_m500_block_1,47,940,500,0.2000,264.4359,259.3969,0.9809,0.9450,11.1211,0.0850,DONE
2026-01-28 17:31:25,Secom,478,compare_k143_a0.2_m500_block_1,143,2860,500,0.2000,429.4074,425.6511,0.9913,10.1344,31.4337,0.3224,DONE
2026-01-28 17:31:39,Secom,478,compare_k95_a0.2_m500_block_1,95,1900,500,0.2000,375.7530,369.6303,0.9837,3.6402,22.2053,0.1639,DONE
2026-01-28 17:31:45,Synthetic_high_corr,500,compare_k5_a0.1_m20_block_1,5,1000,20,0.1000,123.6937,122.9661,0.9941,0.0579,2.9501,0.0196,DONE
2026-01-28 17:31:46,Secom,478,compare_k239_a0.2_m200_block_1,239,4780,200,0.2000,473.2312,472.6419,0.9988,32.7733,28.0381,1.1689,DONE
2026-01-28 17:31:49,Synthetic_high_corr,500,compare_k50_a0.1_m20_block_1,50,1000,20,0.1000,492.5990,491.6098,0.9980,1.2522,2.3509,0.5327,DONE
2026-01-28 17:31:50,Secom,478,compare_k4_a0.2_m500_block_1,4,100,500,0.2000,61.8287,47.2482,0.7642,0.0393,1.3227,0.0297,DONE
2026-01-28 17:32:01,Synthetic_high_corr,500,compare_k100_a0.1_m20_block_1,100,2000,20,0.1000,494.5402,494.3177,0.9996,5.8959,5.9717,0.9873,DONE
2026-01-28 17:32:04,Secom,478,compare_k47_a0.2_m500_block_1,47,940,500,0.2000,264.4359,260.6481,0.9857,1.0928,13.3010,0.0822,DONE
2026-01-28 17:32:25,Synthetic_high_corr,500,compare_k150_a0.1_m20_block_1,150,3000,20,0.1000,495.5990,495.4291,0.9997,14.7613,9.1090,1.6205,DONE
2026-01-28 17:32:33,Secom,478,compare_k143_a0.2_m500_block_1,143,2860,500,0.2000,429.4074,425.6980,0.9914,11.4153,41.7284,0.2736,DONE
2026-01-28 17:32:37,Secom,478,compare_k95_a0.2_m500_block_1,95,1900,500,0.2000,375.7530,369.0882,0.9823,4.5201,28.3040,0.1597,DONE
2026-01-28 17:33:20,Secom,478,compare_k239_a0.2_m500_block_1,239,4780,500,0.2000,473.2312,472.3261,0.9981,40.3848,74.3240,0.5434,DONE
2026-01-28 17:33:21,Arrhythmia,262,compare_k2_a0.2_m200_block_1,2,100,200,0.2000,32.4524,26.2978,0.8103,0.0110,0.3470,0.0317,DONE
2026-01-28 17:33:23,Arrhythmia,262,compare_k26_a0.2_m200_block_1,26,520,200,0.2000,141.5791,136.6482,0.9652,0.2053,1.7665,0.1162,DONE
2026-01-28 17:33:27,Arrhythmia,262,compare_k52_a0.2_m200_block_1,52,1040,200,0.2000,188.6110,183.1141,0.9709,0.6615,3.4728,0.1905,DONE
2026-01-28 17:33:34,Arrhythmia,262,compare_k78_a0.2_m200_block_1,78,1560,200,0.2000,217.1170,214.7519,0.9891,1.4461,5.4186,0.2669,DONE
2026-01-28 17:33:35,Secom,478,compare_k143_a0.2_m500_block_1,143,2860,500,0.2000,429.4074,425.5969,0.9911,12.6988,45.3128,0.2802,DONE
2026-01-28 17:33:40,Synthetic_high_corr,500,compare_k250_a0.1_m20_block_1,250,5000,20,0.1000,497.1771,497.1172,0.9999,60.9636,14.3689,4.2428,DONE
2026-01-28 17:33:44,Synthetic_high_corr,500,compare_k5_a0.1_m50_block_1,5,1000,50,0.1000,123.4843,123.0191,0.9962,0.0580,3.3465,0.0173,DONE
2026-01-28 17:33:48,Arrhythmia,262,compare_k131_a0.2_m200_block_1,131,2620,200,0.2000,249.8098,249.1341,0.9973,4.8234,8.6532,0.5574,DONE
2026-01-28 17:33:48,Synthetic_high_corr,500,compare_k50_a0.1_m50_block_1,50,1000,50,0.1000,492.5628,491.5402,0.9979,1.2127,3.2715,0.3707,DONE
2026-01-28 17:33:49,Arrhythmia,262,compare_k2_a0.2_m500_block_1,2,100,500,0.2000,32.4524,28.5764,0.8806,0.0100,0.6741,0.0149,DONE
2026-01-28 17:33:54,Arrhythmia,262,compare_k26_a0.2_m500_block_1,26,520,500,0.2000,141.5791,136.4247,0.9636,0.1925,4.0430,0.0476,DONE
2026-01-28 17:34:01,Synthetic_high_corr,500,compare_k100_a0.1_m50_block_1,100,2000,50,0.1000,494.5030,494.1437,0.9993,5.4101,7.7477,0.6983,DONE
2026-01-28 17:34:03,Arrhythmia,262,compare_k52_a0.2_m500_block_1,52,1040,500,0.2000,188.6110,184.0330,0.9757,0.6969,8.8597,0.0787,DONE
2026-01-28 17:34:21,Arrhythmia,262,compare_k78_a0.2_m500_block_1,78,1560,500,0.2000,217.1170,214.0014,0.9857,1.5243,16.4585,0.0926,DONE
2026-01-28 17:34:33,Synthetic_high_corr,500,compare_k150_a0.1_m50_block_1,150,3000,50,0.1000,495.5687,495.3731,0.9996,18.8111,13.3184,1.4124,DONE
2026-01-28 17:34:34,Secom,478,compare_k239_a0.2_m500_block_1,239,4780,500,0.2000,473.2312,472.2947,0.9980,50.0442,71.2875,0.7020,DONE
2026-01-28 17:34:36,Arrhythmia,262,compare_k2_a0.2_m200_block_1,2,100,200,0.2000,32.4524,28.5764,0.8806,0.0151,0.5091,0.0297,DONE
